Возраст;Позиции;Имя;Зарплата;Сумма трансфера;Ликвидность;Характер;Физ;Псих;Тех;ОВР;Вратарь;Вратарь (Зщ);Вратарь-чистильщик (Зщ);Вратарь-чистильщик (По);Вратарь-чистильщик (Ат);ЦЗ;КЗ;ОП;ЦП;КП;АП;АКП;ЦН
33;З (Ц), ОП, П (Ц);Kalvin Phillips;€7,487,000 в год;€15.5млн. - €19.5млн.;;Энергичный;;;13;;;26.6;48.0;49.4;50.5;;;;;;;;
34;П/АП (ПЛЦ);Otávio;€18,415,000 в год;€1.9млн. - €3.8млн.;;Идеалист;;;16;;;24.2;45.7;46.9;47.3;;;;;;;;
31;В;Aaron Ramsdale;€9,595,000 в год;Не продается;;Профессионал;;;13;;;77.0;96.3;98.6;102.4;;;;;;;;
31;П (ЛЦ), АП (ПЛЦ), НП (Ц);Dani Olmo;€14,985,000 в год;Не продается;;Энергичный;;;17;;;22.8;45.4;46.6;47.4;;;;;;;;
29;АП (ПЛЦ), НП (Ц);Giacomo Raspadori;€7,372,000 в год;€71млн. - €103млн.;;Тверд в решениях;;;16;;;23.0;45.3;46.8;47.2;;;;;;;;
26;П/АП (Ц);Florian Wirtz;€11,493,000 в год;€97млн.;;Достаточно амбициозный;;;17;;;23.8;47.0;48.5;48.8;;;;;;;;
28;З (ПЛЦ), КЗ (П), ОП, П (ЛЦ);Lutsharel Geertruida;€5,942,000 в год;€55млн. - €80млн.;;Легкомысленный;;;13;;;23.8;42.9;44.4;45.1;;;;;;;;
31;З/КЗ/П/АП (Л);Omar Richards;€4,710,000 в год;€104млн. - €123млн.;;Амбициозный;;;16;;;27.1;48.4;49.8;50.9;;;;;;;;
29;З (Ц), ОП;Maxence Lacroix;€21,286,000 в год;€90млн.;;Идеалист;;;14;;;28.2;47.8;49.0;49.7;;;;;;;;
31;З/КЗ/П (Л);Theo Hernández;€17,334,000 в год;Не продается;;Идеалист;;;14;;;24.8;44.7;46.0;46.4;;;;;;;;
32;П (Ц), АП (ЛЦ);Lorenzo Pellegrini;€9,131,000 в год;€19млн. - €28млн.;;Профессионал;;;16;;;25.4;47.5;48.8;49.9;;;;;;;;
34;П (Ц), АП (ПЦ);Bruno Fernandes;€9,769,000 в год;€27млн. - €32млн.;;Идеалист;;;17;;;24.5;48.6;50.1;51.2;;;;;;;;
33;З (ПЦ), ОП;Niklas Süle;€7,710,000 в год;€17млн.;;Энергичный;;;13;;;25.1;43.5;44.9;45.3;;;;;;;;
25;П (Л), АП (ЛЦ);Andreas Schjelderup;€11,193,000 в год;€93млн. - €112млн.;;Тверд в решениях;;;16;;;23.2;45.3;46.7;47.8;;;;;;;;
29;З (ПЦ), КЗ (П), ОП, П (ПЦ);Reece James;€15,951,000 в год;€73млн. - €89млн.;;Профессионал;;;15;;;27.4;47.8;49.2;49.6;;;;;;;;
32;П/АП (ПЛ);Ousmane Dembélé;€8,519,000 в год;€35млн. - €49млн.;;Сдержанный;;;18;;;22.8;43.6;44.9;45.7;;;;;;;;
29;П (Л), АП (ПЛЦ);Brahim Díaz;€27,036,000 в год;€71млн.;;Тверд в решениях;;;16;;;22.5;45.4;46.9;47.3;;;;;;;;
25;П/АП (Ц);Adam Karabec;€11,640,000 в год;€111млн.;;Достаточно профессионален;;;17;;;26.9;49.1;50.5;51.2;;;;;;;;
31;ОП, П (Ц);Manuel Locatelli;€12,171,000 в год;Не продается;;Легкомысленный;;;16;;;26.8;49.4;50.8;51.9;;;;;;;;
29;П/АП (ПЦ), НП (Ц);Nicolò Zaniolo;€13,356,000 в год;€92млн. - €109млн.;;Идеалист;;;16;;;25.8;48.5;50.2;51.3;;;;;;;;
29;З (Ц), ОП;Matthijs de Ligt;€18,359,000 в год;€111млн. - €135млн.;;Образцовый профессионал;;;15;;;27.8;49.0;50.3;50.7;;;;;;;;
24;ОП, П (Ц), АП (ЛЦ);Gavi;€25,219,000 в год;€200млн. - €218млн.;;Тверд в решениях;;;17;;;24.7;48.9;50.5;51.6;;;;;;;;
31;З (Ц), ОП, П (Ц);Teun Koopmeiners;€5,875,000 в год;€30млн. - €44млн.;;Профессионал;;;14;;;28.4;49.1;50.4;51.5;;;;;;;;
35;В;Ederson;€9,891,000 в год;€46млн. - €56млн.;;С железной волей;;;16;;;76.5;103.4;107.0;112.6;;;;;;;;
31;АП (ПЛЦ), НП (Ц);Odsonne Edouard;€9,422,000 в год;Не продается;;Энергичный;;;17;;;26.7;46.8;48.2;49.0;;;;;;;;
23;П (Л), АП (ПЛЦ);Enes Sali;€10,222,000 в год;€71млн. - €99млн.;;Достаточно профессионален;;;17;;;26.0;46.0;47.2;47.9;;;;;;;;
30;З (ПЦ);Ronald Araújo;€14,945,000 в год;€62млн. - €90млн.;;Тверд в решениях;;;13;;;26.2;46.5;47.9;48.6;;;;;;;;
33;П/АП (ПЛ), НП (Ц);Timo Werner;€9,626,000 в год;€21млн.;;Достаточно амбициозный;;;12;;;22.8;40.8;42.1;42.8;;;;;;;;
30;П (ЛЦ), АП (ПЛЦ), НП (Ц);Houssem Aouar;€8,318,000 в год;€76млн. - €91млн.;;Достаточно профессионален;;;15;;;26.4;48.2;49.5;49.9;;;;;;;;
29;П (ПЛЦ), АП (ПЦ);Fábio Vieira;€6,942,000 в год;€31млн.;;Энергичный;;;16;;;23.4;46.0;47.4;48.5;;;;;;;;
29;В;Diogo Costa;€9,398,000 в год;€71млн. - €99млн.;;Профессионал;;;12;;;76.4;95.5;98.0;100.6;;;;;;;;
31;В;Unai Simón;€6,456,000 в год;Не продается;;Достаточно настойчивый;;;13;;;74.7;94.9;97.6;102.5;;;;;;;;
28;П/АП (ПЛЦ), НП (Ц);Kang-In Lee;€8,967,000 в год;€80млн.;;Тверд в решениях;;;16;;;23.5;44.7;46.0;46.7;;;;;;;;
36;НП (Ц);Romelu Lukaku;€12,008,000 в год;€10.5млн. - €15млн.;;Профессионал;;;15;;;24.0;44.4;46.0;46.4;;;;;;;;
31;З (ЛЦ), КЗ/П (Л);Federico Dimarco;€4,198,000 в год;Не продается;;Энергичный;;;15;;;25.4;44.2;45.3;45.7;;;;;;;;
29;П/АП (ПЛ);Jadon Sancho;€21,218,000 в год;€78млн. - €113млн.;;Амбициозный;;;18;;;27.4;51.5;53.0;54.1;;;;;;;;
31;З/КЗ (П), П (ПЦ), АП (П);Ridle Baku;€9,484,000 в год;€41млн.;;Тверд в решениях;;;13;;;23.9;42.9;44.2;45.4;;;;;;;;
33;З (ПЦ), КЗ (П), ОП;Benjamin Pavard;€10,792,000 в год;Не продается;;Профессионал;;;14;;;24.0;44.2;45.6;46.3;;;;;;;;
34;З (ПЦ), ОП;Milan Skriniar;€14,532,000 в год;€25млн. - €29млн.;;Образцовый профессионал;;;13;;;28.6;46.8;48.0;49.1;;;;;;;;
34;З (Ц), КЗ (П), ОП, П/АП (ПЦ), НП (Ц);Marcos Llorente;€12,804,000 в год;€67млн.;;Профессионал;;;14;;;24.8;44.3;45.6;46.0;;;;;;;;
32;З (ПЛЦ), ОП;Joe Gomez;€10,612,000 в год;Не продается;;Тверд в решениях;;;14;;;27.6;47.0;48.3;48.7;;;;;;;;
24;З/КЗ (П);Iván Fresneda;€9,894,000 в год;€82млн. - €96млн.;;Достаточно настойчивый;;;13;;;25.6;45.2;46.6;47.4;;;;;;;;
28;З (ПЦ);Eric García;€11,002,000 в год;€53млн. - €64млн.;;Тверд в решениях;;;14;;;25.9;47.4;48.7;49.8;;;;;;;;
29;З (ПЛЦ);Pierre Kalulu;€15,032,000 в год;€66млн. - €95млн.;;Тверд в решениях;;;12;;;25.9;47.4;49.0;49.8;;;;;;;;
26;П (П), АП (ПЛЦ), НП (Ц);Yeremy Pino;€11,657,000 в год;€110млн. - €159млн.;;Достаточно профессионален;;;16;;;27.6;49.2;50.6;52.2;;;;;;;;
29;П/АП (ПЛ), НП (Ц);Ferran Torres;€15,708,000 в год;€79млн. - €93млн.;;Энергичный;;;15;;;24.5;45.0;46.2;46.9;;;;;;;;
28;НП (Ц);Lassina Traoré;€4,231,000 в год;€50млн.;;Достаточно настойчивый;;;14;;;21.5;41.2;42.6;43.0;;;;;;;;
34;П (ПЛ), АП (ПЛЦ), НП (Ц);Raheem Sterling;€4,567,000 в год;€10.5млн. - €12млн.;;Амбициозный;;;13;;;25.5;44.6;45.8;47.0;;;;;;;;
31;П (ПЛ), АП (ПЛЦ), НП (Ц);Nicolás González;€10,469,000 в год;Не продается;;Идеалист;;;16;;;24.8;47.0;48.5;48.9;;;;;;;;
32;З (Ц);Bremer;€16,565,000 в год;Не продается;;Достаточно профессионален;;;15;;;28.7;48.5;49.9;50.6;;;;;;;;
30;АП (ПЛ), НП (Ц);Victor Osimhen;€13,423,000 в год;€56млн.;;Амбициозный;;;14;;;23.5;43.4;44.7;45.1;;;;;;;;
24;З (ПЦ), КЗ (П), ОП;Stefan Bajčetić;€9,311,000 в год;€75млн. - €108млн.;;Тверд в решениях;;;15;;;24.7;47.1;48.8;50.3;;;;;;;;
26;КЗ (Л), П (ЛЦ), АП (ПЛЦ);Ísak Jóhannesson;€8,187,000 в год;€126млн. - €193млн.;;Тверд в решениях;;;15;;;25.2;48.0;49.4;50.2;;;;;;;;
26;П (Л), АП (ПЛ), НП (Ц);Nemanja Motika;€7,237,000 в год;€43млн. - €63млн.;;Амбициозный;;;15;;;20.9;40.6;41.7;42.1;;;;;;;;
29;П/АП (Л), НП (Ц);Amine Gouiri;€8,159,000 в год;€99млн.;;Тверд в решениях;;;17;;;25.5;48.2;49.7;50.8;;;;;;;;
28;АП (ПЛЦ), НП (Ц);Jonathan Burkardt;€4,453,000 в год;€75млн. - €109млн.;;Тверд в решениях;;;14;;;23.4;42.7;43.8;44.6;;;;;;;;
31;З (Ц);Cristian Romero;€9,215,000 в год;€40млн.;;Тверд в решениях;;;12;;;26.4;44.9;46.3;46.6;;;;;;;;
29;ОП, П (Ц);Sandro Tonali;€14,235,000 в год;€111млн. - €130млн.;;Тверд в решениях;;;17;;;30.0;52.6;54.1;54.8;;;;;;;;
26;П/АП (ЛЦ);Giovanni Reyna;€8,083,000 в год;€49млн. - €58млн.;;Сдержанный;;;15;;;24.0;46.9;48.5;50.0;;;;;;;;
33;КЗ (П), П (ПЛ), АП (ПЛЦ);Leroy Sané;€7,035,000 в год;€7.6млн.;;Достаточно амбициозный;;;15;;;22.2;42.4;43.6;44.4;;;;;;;;
32;П/АП (ПЛ);Raphinha;€17,974,000 в год;€38млн. - €45млн.;;Энергичный;;;16;;;25.6;47.4;48.7;49.8;;;;;;;;
32;З (ПЛ), КЗ (П), П (ПЦ);Davide Calabria;€4,246,000 в год;€7.6млн. - €11.5млн.;;Тверд в решениях;;;12;;;26.6;44.8;45.8;46.6;;;;;;;;
31;АП (Ц), НП (Ц);Lautaro Martínez;€16,378,000 в год;Не продается;;Профессионал;;;17;;;25.0;46.3;47.4;47.8;;;;;;;;
29;П (Ц), АП (ПЛЦ), НП (Ц);Phil Foden;€20,732,000 в год;€139млн. - €202млн.;;Тверд в решениях;;;17;;;26.5;50.2;51.9;52.2;;;;;;;;
31;З (Ц), АП (П);Merih Demiral;€11,503,000 в год;€33млн. - €39млн.;;Напористый;;;11;;;26.1;42.4;43.4;43.8;;;;;;;;
33;З (Ц), ОП, П (Ц);Julian Weigl;€3,405,000 в год;€8.4млн. - €12млн.;;Легкомысленный;;;16;;;27.8;51.0;52.7;53.1;;;;;;;;
33;П (П), АП (ПЛЦ), НП (Ц);Hirving Lozano;€3,106,000 в год;Не продается;;Достаточно профессионален;;;16;;;25.6;46.2;47.6;48.0;;;;;;;;
30;П (Ц), АП (ПЛЦ), НП (Ц);Martin Ødegaard;€10,339,000 в год;€348млн. - €379млн.;;Профессионал;;;17;;;28.0;51.2;52.7;53.0;;;;;;;;
34;З/КЗ/П/АП (Л);José Gayà;€9,483,000 в год;€13.5млн. - €15.5млн.;;Энергичный;;;15;;;26.7;47.7;49.0;50.4;;;;;;;;
31;ОП, П (Ц);Bruno Guimarães;€11,880,000 в год;Не продается;;Сдержанный;;;16;;;26.4;49.8;51.2;52.4;;;;;;;;
28;ОП, П/АП (Ц);Enzo Fernández;€14,256,000 в год;€101млн. - €119млн.;;Тверд в решениях;;;16;;;28.8;51.5;52.8;53.2;;;;;;;;
23;З (ПЛЦ);Nazareno Galmarini;€8,840,000 в год;€94млн. - €135млн.;;Идеалист;;;16;;;30.2;51.1;52.6;52.9;;;;;;;;
29;АП (ПЛЦ), НП (Ц);Julián Álvarez;€20,336,000 в год;€58млн. - €71млн.;;Идеалист;;;17;;;26.0;48.8;50.4;51.2;;;;;;;;
26;З (ПЦ), КЗ/П/АП (П);Malo Gusto;€17,553,000 в год;€50млн. - €73млн.;;Тверд в решениях;;;14;;;25.8;45.4;46.4;47.5;;;;;;;;
31;З (ЛЦ), ОП, П (Ц);Lisandro Martínez;€5,109,000 в год;€62млн. - €74млн.;;Энергичный;;;15;;;25.3;45.7;47.3;48.0;;;;;;;;
27;З (Ц);Armel Bella-Kotchap;€6,424,000 в год;€47млн. - €68млн.;;Достаточно профессионален;;;13;;;25.8;43.8;44.8;45.2;;;;;;;;
30;ОП, П (ЛЦ), АП (ПЛЦ);Mason Mount;€12,091,000 в год;€135млн.;;Напористый;;;16;;;24.3;45.6;47.0;47.4;;;;;;;;
29;З/КЗ/П (П);Pedro Porro;€10,212,000 в год;€65млн. - €76млн.;;Достаточно настойчивый;;;16;;;25.9;46.2;47.3;48.0;;;;;;;;
27;З/КЗ/П (Л);George Bello;€7,058,000 в год;€74млн. - €113млн.;;Идеалист;;;14;;;23.4;42.2;43.2;43.6;;;;;;;;
32;П (Л), АП (ПЛЦ), НП (Ц);Diogo Jota;€10,527,000 в год;€43млн. - €53млн.;;Энергичный;;;15;;;26.0;47.2;48.7;49.1;;;;;;;;
24;П/АП (ПЛ), НП (Ц);Alejandro Garnacho;€11,727,000 в год;€158млн. - €224млн.;;Тверд в решениях;;;16;;;23.2;43.5;44.9;45.6;;;;;;;;
27;ОП, П (Ц);Alan Varela;€3,569,000 в год;€41млн.;;Напористый;;;15;;;25.4;46.9;48.1;48.8;;;;;;;;
29;З (ПЦ), ОП, П (Ц);Trevoh Chalobah;€7,712,000 в год;€66млн. - €81млн.;;Достаточно дисциплинированный;;;13;;;27.0;46.8;48.1;49.2;;;;;;;;
28;З (Ц);Wesley Fofana;€11,305,000 в год;€65млн. - €96млн.;;Достаточно профессионален;;;14;;;27.8;48.4;49.7;50.8;;;;;;;;
27;П/АП (Ц);Paulo Bernardo;€13,838,000 в год;€65млн. - €77млн.;;Энергичный;;;16;;;25.8;47.4;48.6;49.4;;;;;;;;
26;З (ЛЦ), КЗ (Л);Nuno Mendes;€15,853,000 в год;€87млн. - €123млн.;;Энергичный;;;15;;;26.1;47.9;49.3;50.5;;;;;;;;
29;З (Ц);Matteo Lovato;€8,134,000 в год;€208млн. - €262млн.;;Энергичный;;;11;;;25.7;42.6;43.8;44.5;;;;;;;;
28;П/АП (ПЛ), НП (Ц);Rodrygo;€20,502,000 в год;€139млн.;;Достаточно профессионален;;;16;;;27.2;49.4;50.9;51.6;;;;;;;;
31;ОП, П (Ц);Ismaël Bennacer;€10,333,000 в год;€30млн. - €43млн.;;Тверд в решениях;;;17;;;24.9;46.2;47.5;48.2;;;;;;;;
30;П (П), АП (ПЛЦ), НП (Ц);Lukas Nmecha;€4,321,000 в год;€20млн.;;Амбициозный;;;16;;;22.8;41.6;42.6;43.8;;;;;;;;
29;АП (ПЛ), НП (Ц);Moise Kean;€6,968,000 в год;€64млн.;;Достаточно настойчивый;;;14;;;24.0;42.4;43.5;43.9;;;;;;;;
27;З (Ц);Morato;€9,543,000 в год;€64млн. - €93млн.;;Достаточно профессионален;;;13;;;28.3;47.7;48.9;49.7;;;;;;;;
35;З (ПЦ), ОП, П (Ц);Fabinho;€10,997,000 в год;€1.1млн. - €10млн.;;Энергичный;;;14;;;27.3;48.4;49.8;51.0;;;;;;;;
33;П/АП (ЛЦ), НП (Ц);Mattia Zaccagni;€7,260,000 в год;€7.4млн.;;Тверд в решениях;;;16;;;23.5;44.8;46.0;46.8;;;;;;;;
32;З/КЗ/П (Л);Sergio Reguilón;€2,698,000 в год;€12.5млн. - €18.5млн.;;Достаточно настойчивый;;;14;;;25.4;44.2;45.4;46.5;;;;;;;;
22;З (ПЛ), КЗ (П);Mateusz Misztal;€2,124,000 в год;€55млн. - €80млн.;;Темпераментный;;;11;;;26.6;42.4;43.7;44.8;;;;;;;;
22;З (ПЦ), КЗ (П), ОП, АП (П);Victor Serrano;€1,860,000 в год;€79млн. - €116млн.;;Тверд в решениях;;;16;;;25.7;47.0;48.2;49.3;;;;;;;;
23;П (ЛЦ), АП (Ц), НП (Ц);Darío Pacheco;€9,663,000 в год;€61млн. - €72млн.;;Тверд в решениях;;;16;;;25.2;42.4;43.5;44.6;;;;;;;;
31;П/АП (ПЛ), НП (Ц);Steven Bergwijn;€4,466,000 в год;Не продается;;Сдержанный;;;13;;;22.9;41.6;42.7;43.1;;;;;;;;
30;П (П), АП (ПЛ), НП (Ц);Randal Kolo Muani;€11,001,000 в год;€92млн. - €108млн.;;Сдержанный;;;17;;;25.4;46.6;47.8;48.2;;;;;;;;
29;З/КЗ (ПЛ), П (ПЛЦ);Andrea Cambiaso;€7,348,000 в год;€54млн. - €66млн.;;Тверд в решениях;;;13;;;26.0;44.3;45.4;46.2;;;;;;;;
29;П/АП (Ц);Oihan Sancet;€5,400,000 в год;€156млн.;;Тверд в решениях;;;16;;;25.2;48.2;49.4;50.5;;;;;;;;
