Возраст;Позиции;Имя;Зарплата;Сумма трансфера;Ликвидность;Характер;Физ;Псих;Тех;ОВР;Вратарь;Вратарь (Зщ);Вратарь-чистильщик (Зщ);Вратарь-чистильщик (По);Вратарь-чистильщик (Ат);ЦЗ;КЗ;ОП;ЦП;КП;АП;АКП;ЦН
19;П (ПЦ), АП (П);George McKibbin;-;€0;;Неамбициозный;;;7;;;11.9;19.0;19.4;20.1;;;;;;;;
19;П (ЛЦ), НП (Ц);Collen Ndlovu;-;€0;;Легкомысленный;;;8;;;14.8;25.2;26.1;26.9;;;;;;;;
19;З (ПЦ);Ikechukwu Akpan;-;€0;;Неамбициозный;;;4;;;15.8;23.8;24.5;25.3;;;;;;;;
18;П (ПЛ), АП (ЛЦ);Billy Townsend;-;€0;;Темпераментный;;;6;;;12.9;21.0;21.7;22.5;;;;;;;;
19;З/КЗ (Л);Jamie Walters;-;€0;;Сдержанный;;;6;;;15.0;22.3;22.8;24.0;;;;;;;;
19;З (ПЦ);Sam Shelton;-;€0;;Сдержанный;;;4;;;15.6;23.9;24.6;25.4;;;;;;;;
20;АП (ПЛ), НП (Ц);Steven Lyons;-;€0;;Достаточно профессионален;;;10;;;14.8;22.8;23.2;24.3;;;;;;;;
20;З (ПЦ), П (П);Ally Crawford;-;€0;;Неамбициозный;;;6;;;14.8;24.7;25.4;26.1;;;;;;;;
20;П (ЛЦ), АП (Ц);Ben Holliday;-;€0;;Достаточно настойчивый;;;9;;;16.2;29.2;30.3;30.6;;;;;;;;
19;З (ПЦ);Marcus Watson;-;€0;;Достаточно профессионален;;;4;;;18.4;27.4;28.0;29.2;;;;;;;;
20;ОП, П (ЛЦ), АП (П);Hamish Towler;-;€0;;Неамбициозный;;;5;;;15.6;23.4;24.0;25.2;;;;;;;;
19;З (ЛЦ), ОП;Kris Wheater;-;€0;;Неамбициозный;;;3;;;16.0;22.4;22.8;23.2;;;;;;;;
21;АП (ПЛ), НП (Ц);Jason Hewitt;-;€0;;Сдержанный;;;8;;;13.8;23.8;24.5;26.0;;;;;;;;
19;З/П (Ц);Tom Dixon;-;€0;;Неамбициозный;;;4;;;16.6;26.2;27.1;27.8;;;;;;;;
19;П (Л), НП (Ц);Caleb Probert;-;€0;;Сдержанный;;;7;;;13.3;22.6;23.3;23.6;;;;;;;;
19;З (ЛЦ);Yusuf Matovu;-;€0;;Сдержанный;;;5;;;16.6;25.6;26.4;27.6;;;;;;;;
19;ОП, П (Ц), АП (ЛЦ);Anthony McMahon;-;€0;;Нерешительный;;;8;;;14.6;24.2;24.9;25.7;;;;;;;;
21;З (Ц), ОП;Phil McIntosh;Н/Д;€0;;Нерешительный;;;4;;;15.0;25.2;25.7;26.4;;;;;;;;
19;В;Luca Coulter;Н/Д;€0;;Неамбициозный;;;3;;;39.0;43.6;44.9;48.3;;;;;;;;
19;П (ЛЦ), АП (Л);Tom Killpartrick;Н/Д;€0;;Сдержанный;;;7;;;14.1;26.2;27.3;27.6;;;;;;;;
19;З (ЛЦ);Mário Gandra;Н/Д;€0;;Неамбициозный;;;3;;;16.7;25.6;26.2;26.9;;;;;;;;
19;П (Ц), АП (ЛЦ), НП (Ц);Kieran Weaver;Н/Д;€0;;Сдержанный;;;14;;;12.4;22.2;22.7;23.4;;;;;;;;
19;П (Ц);Aldrich Kasongo;Н/Д;€0;;Неамбициозный;;;5;;;14.2;23.0;23.8;24.9;;;;;;;;
19;В;James Steele;Н/Д;€0;;Темпераментный;;;1;;;28.7;34.4;36.2;38.0;;;;;;;;
19;З (Ц);David Cleaver;Н/Д;€0;;Сдержанный;;;8;;;18.2;29.1;29.8;30.6;;;;;;;;
19;П/АП (Л), НП (Ц);Jozef Kovac;Н/Д;€0;;Сдержанный;;;5;;;13.1;20.0;20.5;21.6;;;;;;;;
21;П/АП (Л);Tom Lake;€16,750 в год;€0;;Идеалист;;;10;;;17.2;26.9;27.4;27.8;;;;;;;;
21;З (Ц), ОП;Nicholas Owen;€2,900 в год;€0;;Неамбициозный;;;6;;;21.4;32.0;32.8;33.2;;;;;;;;
21;З (Ц), ОП, П (Ц);Geraint Mahoney;€6,500 в год;€0;;Профессионал;;;9;;;22.5;35.5;36.4;37.1;;;;;;;;
19;З (Л);Omar Medane;Н/Д;€0;;Неамбициозный;;;3;;;15.4;21.9;22.2;23.0;;;;;;;;
21;З/КЗ (П), АП (ПЦ);John Michael;€8,000 в год;€0;;Неамбициозный;;;11;;;16.2;27.3;28.0;29.5;;;;;;;;
16;АП (Ц);Gary Penker;€300 в год;€0;;Сдержанный;;;10;;;19.7;32.0;32.7;33.8;;;;;;;;
16;П (Ц);Augustine Danso;€300 в год;€0;;Сдержанный;;;11;;;13.7;26.0;26.9;27.3;;;;;;;;
21;З (ПЦ);Glenn Cowan;€63,000 в год;€0;;Лояльный;;;5;;;17.4;25.6;26.4;27.1;;;;;;;;
19;З (Ц), ОП, П/АП (Ц);Kevin Thomson;Н/Д;€0;;Профессионал;;;6;;;14.7;26.4;27.3;28.4;;;;;;;;
19;В;Lewis Pritchard;Н/Д;€0;;Наемник;;;4;;;34.4;39.6;40.9;41.3;;;;;;;;
18;З (П);Mark Bello;€300 в год;€0;;Сдержанный;;;6;;;15.9;22.2;22.9;23.6;;;;;;;;
19;З (ЛЦ);Colin Hooper;€6,500 в год;€0;;Неамбициозный;;;7;;;19.2;28.3;28.9;30.0;;;;;;;;
19;З/П (Л);Ken York;Н/Д;€0;;Темпераментный;;;6;;;17.2;24.7;25.2;26.4;;;;;;;;
19;П/АП (Ц), НП (Ц);Mark Schmidt;Н/Д;€0;;Энергичный;;;11;;;15.8;30.4;31.3;32.4;;;;;;;;
19;П/АП (Л), НП (Ц);Tyler Davie;Н/Д;€0;;Нерешительный;;;8;;;11.3;18.5;19.0;20.5;;;;;;;;
21;АП (ЛЦ), НП (Ц);Patrick Weber;Н/Д;€0;;Нерешительный;;;11;;;19.1;32.8;33.8;35.0;;;;;;;;
19;З (ЛЦ);Karl Edwards;Н/Д;€0;;Неамбициозный;;;6;;;16.0;26.4;27.2;27.6;;;;;;;;
18;З (Ц);Callum Jackson;Н/Д;€0;;Достаточно профессионален;;;4;;;15.4;23.5;24.1;24.5;;;;;;;;
19;З (Л), ОП, П/АП (Ц);Paris Aldridge;Н/Д;€0;;Достаточно профессионален;;;10;;;13.4;20.2;20.9;21.3;;;;;;;;
19;ОП, П/АП (Ц);Duncan Turner;Н/Д;€0;;Неамбициозный;;;11;;;15.6;28.6;29.7;30.1;;;;;;;;
18;П/АП (П), НП (Ц);Marcus Ruud Ramsli;Н/Д;€0;;Неамбициозный;;;5;;;14.2;25.3;25.9;26.3;;;;;;;;
19;З (Л);Mike Wilkinson;Н/Д;€0;;Неамбициозный;;;6;;;16.2;25.5;26.2;26.5;;;;;;;;
19;НП (Ц);Lawrence Abdullahi;Н/Д;€0;;Сдержанный;;;10;;;13.6;23.4;24.3;25.4;;;;;;;;
21;В;Simon Walshe;Н/Д;€0;;Наемник;;;6;;;36.6;44.6;46.2;48.1;;;;;;;;
19;АП (Л), НП (Ц);Paul Kavanagh;Н/Д;€0;;Неамбициозный;;;9;;;12.3;24.4;25.1;26.2;;;;;;;;
19;П/АП (П);Louie Abrahams;Н/Д;€0;;Достаточно настойчивый;;;6;;;16.2;25.5;26.3;26.7;;;;;;;;
21;З (Ц), ОП, П (Ц);David Blanchard;€19,000 в год;€0;;Неамбициозный;;;5;;;19.3;28.4;28.8;29.2;;;;;;;;
18;З (ЛЦ);Harrison Watters;Н/Д;€0;;Неамбициозный;;;3;;;15.0;20.6;21.0;22.1;;;;;;;;
21;В;Wayne Richards;Н/Д;€0;;Сдержанный;;;3;;;38.4;48.4;50.0;50.4;;;;;;;;
19;В;Jasper Burgess;Н/Д;€0;;Непостоянный;;;3;;;29.3;38.6;40.5;40.9;;;;;;;;
18;З (ЛЦ), КЗ (Л);Craig Robinson;Н/Д;€0;;Непостоянный;;;2;;;17.6;24.1;24.5;24.9;;;;;;;;
21;П/АП (Ц), НП (Ц);Jake Swattridge;€8,500 в год;€0;;Энергичный;;;8;;;16.6;29.2;29.7;30.1;;;;;;;;
21;З (Ц);Bradley Shenton;€62,500 в год;€0;;Сдержанный;;;8;;;22.8;34.1;34.8;35.2;;;;;;;;
19;КЗ (П), АП (Ц);Jon Ryan;Н/Д;€0;;Неамбициозный;;;9;;;16.2;26.8;27.4;28.6;;;;;;;;
18;КЗ (Л), П (Ц), АП (ЛЦ);Bryan Ramsdale;Н/Д;€0;;Неамбициозный;;;7;;;14.3;25.6;26.4;27.5;;;;;;;;
19;З/КЗ (Л);Corey White;Н/Д;€0;;Непостоянный;;;8;;;17.0;26.2;26.9;27.2;;;;;;;;
19;З/КЗ (П);Marcus Palmer;Н/Д;€0;;Нерешительный;;;7;;;18.0;26.4;27.0;27.7;;;;;;;;
19;З (Ц);Shay Duffy;Н/Д;€0;;Сдержанный;;;7;;;17.8;27.6;28.2;29.3;;;;;;;;
19;З (Л);Sean Garrett;Н/Д;€0;;Реалист;;;4;;;15.2;22.7;23.2;23.9;;;;;;;;
19;КЗ (П), АП (Л);Mark Osman;Н/Д;€0;;Достаточно амбициозный;;;7;;;12.8;19.6;20.2;21.3;;;;;;;;
19;В;Valentino Zganjer;€8,750 в год;€0;;Неамбициозный;;;1;;;51.3;58.7;60.2;60.6;;;;;;;;
18;З (Ц), ОП, П (Ц);Neil McKay;€8,750 в год;€0;;Достаточно дисциплинированный;;;11;;;20.4;35.5;36.7;37.8;;;;;;;;
18;П/АП (П), НП (Ц);Lee Forbes;€8,750 в год;€0;;Энергичный;;;7;;;14.6;26.6;27.4;27.7;;;;;;;;
18;АП (Л), НП (Ц);Ross Steer;€8,750 в год;€0;;Неамбициозный;;;10;;;13.4;22.5;23.2;23.5;;;;;;;;
18;З (ЛЦ);Laurence Ezewele;€8,750 в год;€0;;Сдержанный;;;8;;;19.2;33.7;34.5;34.9;;;;;;;;
21;З (ПЦ), ОП, П (Ц);James Carey;€39,000 в год;€0;;Сдержанный;;;9;;;18.8;27.3;28.0;29.1;;;;;;;;
18;П (Ц);Shay Sawers;€8,750 в год;€0;;Наемник;;;12;;;15.8;31.8;32.8;33.2;;;;;;;;
21;П (ЛЦ), АП (Ц);Waide Kenworthy;€17,750 в год;€0;;Достаточно дисциплинированный;;;8;;;13.7;27.6;28.5;29.2;;;;;;;;
21;П/АП (П), НП (Ц);Chris Snodin;Н/Д;€0;;Сдержанный;;;5;;;13.0;22.5;23.2;23.6;;;;;;;;
21;В;Stephen Kitchen;€12,250 в год;€0;;Профессионал;;;1;;;37.5;40.9;42.0;42.4;;;;;;;;
18;П/АП (Ц);Peter Henry;€8,750 в год;€0;;Непостоянный;;;10;;;19.3;36.3;37.3;37.7;;;;;;;;
18;П/АП (П);Bram van Es;€8,750 в год;€0;;Достаточно настойчивый;;;15;;;16.2;31.4;32.3;32.7;;;;;;;;
18;В;Colin Jackson;€8,750 в год;€0;;Сдержанный;;;4;;;42.8;49.8;51.2;53.8;;;;;;;;
18;З (ПЦ);Lee Greenwood;€8,750 в год;€0;;Достаточно профессионален;;;8;;;22.3;32.9;33.5;34.6;;;;;;;;
21;АП (П), НП (Ц);Daniel Lewis;Н/Д;€0;;Неамбициозный;;;11;;;13.2;22.8;23.5;24.7;;;;;;;;
18;П (ПЦ), АП (Ц);Josh Summers;€8,750 в год;€0;;Сдержанный;;;10;;;16.0;29.6;30.8;31.6;;;;;;;;
18;З (Ц), ОП;Lorcan Doyle;€8,750 в год;€0;;Неамбициозный;;;3;;;14.2;23.4;24.1;25.2;;;;;;;;
18;З (Ц);Wes Zibaka;€8,750 в год;€0;;Сдержанный;;;5;;;20.1;28.0;28.6;29.0;;;;;;;;
18;ОП, П (Ц);Tom Constable;€8,750 в год;€0;;Нерешительный;;;6;;;21.5;30.8;31.6;31.9;;;;;;;;
18;НП (Ц);David Farrell;€8,750 в год;€0;;Легкомысленный;;;9;;;16.9;30.3;31.5;32.2;;;;;;;;
21;АП (П), НП (Ц);Liam Gray;Н/Д;€0;;Неамбициозный;;;9;;;13.1;23.8;24.5;25.7;;;;;;;;
21;З (ПЦ), ОП, П (Ц);Lloyd Brewerton;Н/Д;€0;;Неамбициозный;;;6;;;18.0;26.7;27.3;28.4;;;;;;;;
21;З (ПЦ), КЗ (П), ОП;Liban Elmi;€13,500 в год;€0;;Сдержанный;;;5;;;17.1;25.7;26.6;27.0;;;;;;;;
21;АП (П), НП (Ц);Javian Neil;Н/Д;€0;;Нерешительный;;;3;;;14.1;22.4;22.9;23.7;;;;;;;;
18;КЗ (П), ОП, П (Ц);John McGowan;€8,750 в год;€0;;Решительный;;;11;;;19.2;33.7;34.6;35.7;;;;;;;;
21;В;Simplice Mayele;Н/Д;€0;;Сдержанный;;;5;;;43.6;51.8;52.9;54.8;;;;;;;;
18;З/КЗ (П);Peter Devaney;€8,750 в год;€0;;Общительный;;;8;;;21.1;35.0;35.8;36.6;;;;;;;;
21;З (ЛЦ);Kelvin Morford;Н/Д;€0;;Сдержанный;;;2;;;16.1;24.2;24.8;25.2;;;;;;;;
21;В;Lucas Weatherby;Н/Д;€0;;Неамбициозный;;;6;;;34.3;46.4;48.6;49.4;;;;;;;;
18;АП (П), НП (Ц);Mustapha Agu;€8,750 в год;€0;;Тверд в решениях;;;8;;;17.0;29.3;30.2;31.4;;;;;;;;
18;П/АП (Ц);Carles Vallés;€8,750 в год;€0;;Сдержанный;;;9;;;19.4;36.4;37.4;38.5;;;;;;;;
17;З (Ц), П (ЛЦ);Brandon Angol;€8,750 в год;€0;;Жизнерадостный;;;12;;;17.2;34.4;35.7;36.1;;;;;;;;
18;З (Л);Stuart Gorman;€1,200 в год;€0;;Ненадежный;;;4;;;19.8;30.2;30.9;31.6;;;;;;;;
18;В;Aled Foulkes;€7,750 в год;€0;;Достаточно настойчивый;;;4;;;40.8;47.7;49.3;51.2;;;;;;;;
18;НП (Ц);Liam Jarvis;€1,200 в год;€0;;Сдержанный;;;7;;;13.5;24.3;25.1;26.2;;;;;;;;
18;З (Ц);James Williams;Н/Д;€0;;Сдержанный;;;6;;;16.9;27.7;28.5;29.2;;;;;;;;
19;В;Jackson Hodgson;€300 в год;€0;;Сдержанный;;;5;;;42.2;50.0;51.3;51.7;;;;;;;;
21;П (П), АП (ПЦ);Jake Lynch;€8,250 в год;€0;;Неамбициозный;;;6;;;16.3;26.5;27.2;28.0;;;;;;;;
21;НП (Ц);Ed Malyon;Н/Д;€0;;Нерешительный;;;11;;;16.0;25.6;26.2;27.0;;;;;;;;
19;В;Chris Shaw;€300 в год;€0;;Профессионал;;;2;;;33.9;39.6;41.0;41.8;;;;;;;;
21;П (ПЛ), АП (ПЛЦ);Sam Butterfield;€6,250 в год;€0;;Достаточно амбициозный;;;10;;;14.5;24.6;25.2;26.0;;;;;;;;
21;В;Emini Kay;Н/Д;€0;;Неамбициозный;;;1;;;38.6;45.9;47.3;50.7;;;;;;;;
21;П (ПЦ), АП (Ц), НП (Ц);Jon Ingram;€6,500 в год;€0;;Неамбициозный;;;12;;;13.4;24.4;25.2;26.0;;;;;;;;
21;З (ЛЦ);Wayne Long;€6,250 в год;€0;;Неамбициозный;;;9;;;18.7;27.3;27.8;28.6;;;;;;;;
21;НП (Ц);John Cummings;Н/Д;€0;;Нерешительный;;;11;;;15.5;25.8;26.8;27.9;;;;;;;;
21;П/АП (П);Arwyn Williams;€9,250 в год;€0;;Неамбициозный;;;9;;;16.4;28.5;29.3;30.8;;;;;;;;
21;НП (Ц);Tom Davidson;€15,750 в год;€0;;Сдержанный;;;9;;;12.0;20.8;21.2;22.6;;;;;;;;
21;НП (Ц);Luke Young;€11,000 в год;€0;;Энергичный;;;9;;;15.4;26.3;26.8;27.6;;;;;;;;
18;П/АП (П);Damian Maj;€8,750 в год;€0;;Неамбициозный;;;6;;;14.6;25.6;26.6;27.3;;;;;;;;
21;З (ПЦ);Lee Kelly;Н/Д;€0;;Сдержанный;;;4;;;17.4;27.8;28.6;30.0;;;;;;;;
21;З/П (ЛЦ);Éric Kamdem;€19,500 в год;€0;;Неамбициозный;;;8;;;18.5;27.3;27.7;28.8;;;;;;;;
18;З (ПЦ), ОП, П (Ц);Bevon Grant;€8,750 в год;€0;;Достаточно лояльный;;;6;;;20.0;30.0;30.6;31.7;;;;;;;;
21;З (ЛЦ), ОП, П (Ц);James Reed;Н/Д;€0;;Неамбициозный;;;5;;;13.6;23.8;24.6;25.8;;;;;;;;
21;П/АП (Ц);Alex Bell;€18,250 в год;€0;;Сдержанный;;;13;;;14.3;24.9;25.5;26.6;;;;;;;;
21;З (ПЦ);Femi Coombes;Н/Д;€0;;Неамбициозный;;;5;;;16.4;24.0;24.4;25.6;;;;;;;;
17;НП (Ц);Glyn Gater;€8,750 в год;€0;;Неамбициозный;;;9;;;16.3;29.0;30.2;30.5;;;;;;;;
18;З (П);Evan McKinlay;€8,750 в год;€0;;Тверд в решениях;;;10;;;20.6;31.7;32.2;33.7;;;;;;;;
18;З (ПЦ);Michael Akanni;€8,750 в год;€0;;Неамбициозный;;;3;;;17.3;27.9;28.9;29.3;;;;;;;;
21;НП (Ц);Danny Hayes;Н/Д;€0;;Непостоянный;;;10;;;11.9;22.0;23.2;23.9;;;;;;;;
18;З (ПЛЦ);Aiden Soraf;€8,750 в год;€0;;Напористый;;;7;;;22.8;35.6;36.6;37.8;;;;;;;;
18;В;Luís Queirós;€8,750 в год;€0;;Неамбициозный;;;3;;;47.2;57.5;58.9;61.9;;;;;;;;
21;З (Ц), АП (П), НП (Ц);Reed Hicks;Н/Д;€0;;Достаточно дисциплинированный;;;6;;;14.0;22.6;23.1;23.9;;;;;;;;
21;З (Ц);Louis Corbett;Н/Д;€0;;Достаточно настойчивый;;;4;;;17.5;26.0;26.7;27.4;;;;;;;;
18;АП (ПЛЦ), НП (Ц);Tarik Tahiri;€8,750 в год;€0;;Нерешительный;;;6;;;14.2;23.3;24.2;24.5;;;;;;;;
21;НП (Ц);Tim Prescott;€29,500 в год;€0;;Сдержанный;;;7;;;16.1;27.0;27.5;27.9;;;;;;;;
21;З (ПЛЦ);Matthew Rothwell;€5,750 в год;€0;;Неамбициозный;;;7;;;18.2;25.8;26.4;27.2;;;;;;;;
18;З (ЛЦ), ОП;Ørjan Kvernberg;€8,750 в год;€0;;Наемник;;;10;;;20.4;35.6;36.7;37.4;;;;;;;;
21;З/П (Ц);Philip Parry;Н/Д;€0;;Сдержанный;;;5;;;18.0;26.9;27.4;28.5;;;;;;;;
18;П/АП (Л);Gentian Syla;€8,750 в год;€0;;Нерешительный;;;11;;;14.1;22.8;23.2;23.6;;;;;;;;
18;ОП, П/АП (Ц);John Leckey;€8,750 в год;€0;;Неамбициозный;;;11;;;19.5;34.6;35.8;36.5;;;;;;;;
18;НП (Ц);Emmanuel Appiah;€8,750 в год;€0;;Неамбициозный;;;8;;;16.1;27.6;28.7;29.0;;;;;;;;
21;В;Zac Jones;Н/Д;€0;;Неамбициозный;;;1;;;35.3;40.9;42.1;46.2;;;;;;;;
18;НП (Ц);Arwel Fitzpatrick;€8,750 в год;€0;;Сдержанный;;;12;;;16.2;30.0;30.9;31.6;;;;;;;;
18;З (Ц);Chinedu Ambrose;€8,750 в год;€0;;Темпераментный;;;5;;;15.2;23.8;24.5;25.6;;;;;;;;
21;З (ПЦ);James Griffiths;Н/Д;€0;;Неамбициозный;;;4;;;17.6;25.5;26.0;27.5;;;;;;;;
21;ОП, П (ЛЦ);Charlie Byrne;€2,700 в год;€0;;Достаточно лояльный;;;8;;;17.6;32.5;33.2;34.0;;;;;;;;
21;В;Freddie Sands;Н/Д;€0;;Профессионал;;;7;;;34.8;40.0;41.2;43.0;;;;;;;;
21;З (Ц), ОП, П (Ц);Andrew Park;Н/Д;€0;;Сдержанный;;;8;;;20.1;29.7;30.5;31.6;;;;;;;;
21;З (ЛЦ);Nathan Riley;Н/Д;€0;;Достаточно настойчивый;;;7;;;17.9;25.5;26.1;27.2;;;;;;;;
18;П (Ц);Ty Asensi;€8,750 в год;€0;;Профессионал;;;14;;;18.0;36.6;38.0;38.4;;;;;;;;
21;П/АП (П), НП (Ц);Cammie Gill;€3,400 в год;€0;;Неамбициозный;;;8;;;13.6;22.1;22.6;23.7;;;;;;;;
21;З (Ц), ОП, П (Ц);Nana Landers;Н/Д;€0;;Достаточно настойчивый;;;4;;;17.6;24.5;25.0;26.5;;;;;;;;
21;З (Л);Zidkigah Howell;Н/Д;€0;;Достаточно лояльный;;;5;;;18.3;26.5;27.0;28.2;;;;;;;;
19;НП (Ц);Jonathan Adair;€8,750 в год;€0;;Достаточно профессионален;;;8;;;15.6;26.5;27.7;28.0;;;;;;;;
21;П (Ц), НП (Ц);Paul Dredge;Н/Д;€0;;Достаточно лояльный;;;6;;;12.6;21.4;22.5;23.6;;;;;;;;
18;З (ПЦ);Mohammed Fisher;€8,750 в год;€0;;Сдержанный;;;5;;;19.9;28.7;29.4;30.9;;;;;;;;
21;П/АП (П), НП (Ц);Keith O'Mahony;Н/Д;€0;;Неамбициозный;;;8;;;15.7;24.8;25.6;26.3;;;;;;;;
21;АП (П), НП (Ц);Shaun Giles;€15,750 в год;€0;;Неамбициозный;;;6;;;15.0;22.8;23.4;23.7;;;;;;;;
18;З (ПЦ), ОП;Michael Williams;€8,750 в год;€0;;Нерешительный;;;5;;;19.6;31.5;32.3;33.0;;;;;;;;
21;П/АП (Ц), НП (Ц);Graham Head;Н/Д;€0;;Сдержанный;;;11;;;14.5;26.9;27.7;28.1;;;;;;;;
21;П/АП (П);Jay Leathen;Н/Д;€0;;Сдержанный;;;7;;;10.8;19.1;19.8;20.5;;;;;;;;
21;П (Ц), АП (П), НП (Ц);John Hamer;€15,750 в год;€0;;Достаточно профессионален;;;3;;;15.8;24.6;25.4;26.9;;;;;;;;
18;П (Ц);Joe Savage;€8,750 в год;€0;;Неамбициозный;;;12;;;16.6;31.6;32.7;33.4;;;;;;;;
21;В;Seán O'Flynn;Н/Д;€0;;Темпераментный;;;1;;;32.8;39.9;41.7;45.1;;;;;;;;
18;НП (Ц);Liam Warnock;€8,750 в год;€0;;Тверд в решениях;;;11;;;16.6;25.9;26.6;27.4;;;;;;;;
21;З (ПЛЦ);Alix Humphries;Н/Д;€0;;Достаточно профессионален;;;9;;;13.7;21.1;21.9;23.0;;;;;;;;
21;З (ПЦ);Opoku Asamoah;Н/Д;€0;;Неамбициозный;;;3;;;15.3;23.3;24.0;24.8;;;;;;;;
21;П/АП (Ц);Matthew Ramsay;€19,250 в год;€0;;Достаточно профессионален;;;13;;;16.0;28.2;29.3;30.4;;;;;;;;
18;П/АП (Л);Nathan Matthews;€8,750 в год;€0;;Сдержанный;;;12;;;16.6;28.1;29.0;30.1;;;;;;;;
21;П (ЛЦ), АП (Ц), НП (Ц);Peter Vernon;Н/Д;€0;;Неамбициозный;;;9;;;17.3;30.8;31.6;32.7;;;;;;;;
21;З (Ц);Agim Basha;Н/Д;€0;;Неамбициозный;;;9;;;15.2;24.8;25.4;26.1;;;;;;;;
21;З (ЛЦ);Stanislav Velikov;€8,000 в год;€0;;Сдержанный;;;4;;;20.6;26.5;27.0;28.2;;;;;;;;
21;З (ЛЦ), П (Л);Dannie Burnett;Н/Д;€0;;Бесхарактерный;;;5;;;17.3;23.6;24.2;25.3;;;;;;;;
21;З (Ц), КЗ (П), ОП, П (ПЦ), АП (Ц);Alex King;Н/Д;€0;;Достаточно лояльный;;;5;;;16.6;23.1;23.8;24.2;;;;;;;;
18;З (ПЦ);David Ferguson;€8,750 в год;€0;;Нерешительный;;;3;;;16.7;26.0;26.7;27.4;;;;;;;;
21;АП (П), НП (Ц);Kenny Appleyard;Н/Д;€0;;Неамбициозный;;;10;;;12.8;21.6;22.2;22.6;;;;;;;;
21;З (Л), КЗ (П), П/АП (Ц);Gabriel Odita;Н/Д;€0;;Сдержанный;;;8;;;16.2;24.6;25.1;25.5;;;;;;;;
21;З (П), ОП, П (ЛЦ);Lewis Macey;Н/Д;€0;;Неамбициозный;;;4;;;17.2;24.6;25.3;26.0;;;;;;;;
21;П/АП (Ц);Ashley Hunt;€9,000 в год;€0;;Нерешительный;;;11;;;15.2;28.8;29.6;30.8;;;;;;;;
21;АП (ПЦ);Nicholas Knight;Н/Д;€0;;Нерешительный;;;5;;;12.5;23.3;24.1;24.5;;;;;;;;
21;В;William Hamilton;Н/Д;€0;;Неамбициозный;;;6;;;41.8;48.2;49.6;50.0;;;;;;;;
